0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0.4526132,0.64899844,0.6945676,0.64985174,0.6635797,0.6616206,0.62581855,0.68674237,0.6037654,0.70346373,0.71674806,0.58278,0.71267843,0.7168549,0.5623573,0.53531045,0.58736783,0.6975894,0.6130081,0.4251342,0.6530276,0.70171326,0.6193053,0.65045923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36145473,0.5423955,0.6297993,0.5253058,0.5715936,0.5468075,0.6083677,0.5594258,0.5495154,0.59243155,0.551899,0.52023333,0.6836172,0.558886,0.47103676,0.5184045,0.41894615,0.5562279,0.5239327,0.46108088,0.5364779,0.5530736,0.62503386,0.5730872,0.5335973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43663606,0.5933275,0.5791218,0.5627957,0.62708855,0.57248104,0.5579678,0.59313154,0.5306985,0.6088669,0.57130736,0.54829353,0.6135193,0.61796117,0.5475771,0.4781571,0.5248698,0.6233629,0.5310144,0.4197456,0.6217868,0.6604716,0.48428345,0.59582776,0.4593164,0.5255337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37331715,0.5917711,0.56841046,0.51636875,0.5797976,0.51334,0.47399053,0.5408208,0.5409592,0.536128,0.53580236,0.49456865,0.5788811,0.57472235,0.48610947,0.40421727,0.48466393,0.52829844,0.5419567,0.3754052,0.5551005,0.5758541,0.4775513,0.54236877,0.45461932,0.48331633,0.40259448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40088445,0.584719,0.6248439,0.56711215,0.6380355,0.5779601,0.6428492,0.61599785,0.57914084,0.6395685,0.59469694,0.57056105,0.6999437,0.6161906,0.5495059,0.5077668,0.4774444,0.6550105,0.54261154,0.45782685,0.6089829,0.6519364,0.55580986,0.6257541,0.5468275,0.54855555,0.5119275,0.4999493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.46954274,0.7269411,0.76333356,0.6845238,0.65840924,0.6883152,0.6556302,0.72486705,0.7224048,0.69402504,0.69661146,0.6293658,0.81178826,0.74450326,0.59043825,0.57612556,0.56286633,0.72373056,0.68002766,0.501555,0.67349094,0.7393341,0.7023751,0.720052,0.65451676,0.59286785,0.6206139,0.6760333,0.7902098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5003614,0.7483875,0.74877405,0.73158807,0.6934663,0.6967904,0.717241,0.7291028,0.68843055,0.73243755,0.7069493,0.6315383,0.85088634,0.78116393,0.61298585,0.5523543,0.62902766,0.8642494,0.66981286,0.5573673,0.7309474,0.8458533,0.65111667,0.71989155,0.5704064,0.64783984,0.5762301,0.6683929,0.7770812,0.88056266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4790198,0.615842,0.6733433,0.59903395,0.61177343,0.613212,0.5755054,0.6403287,0.60522175,0.606988,0.62613636,0.5878798,0.66095805,0.6571206,0.52825457,0.5432761,0.5286725,0.60515,0.6110649,0.4856412,0.59338,0.6298412,0.6072023,0.62748706,0.57665384,0.5585253,0.5680227,0.589188,0.67546475,0.6365615,0.6138999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.31903884,0.43602994,0.40929297,0.3885321,0.50674623,0.3847772,0.416263,0.41002995,0.33776775,0.44302073,0.40892562,0.43260437,0.41583392,0.4268797,0.41499314,0.35312375,0.36600384,0.3852998,0.38035753,0.34710824,0.42809287,0.419184,0.34691572,0.41272098,0.3633537,0.41224265,0.3878266,0.42283145,0.43006033,0.42314848,0.4459845,0.3106996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45463577,0.6579754,0.71294475,0.6411645,0.6571746,0.69523185,0.66496474,0.72239846,0.6840988,0.6909326,0.6402655,0.5961267,0.7776726,0.70821,0.5988342,0.54169375,0.53742486,0.7792004,0.6425259,0.4522712,0.69432616,0.78355265,0.6267136,0.68391246,0.58238924,0.62334317,0.53900105,0.6458934,0.7430307,0.7673214,0.6339167,0.3919907,0.74052024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43285123,0.61372703,0.6240049,0.61467487,0.64924914,0.59906626,0.60822767,0.6122268,0.5439222,0.64856,0.6010511,0.5468132,0.67936844,0.6621648,0.55500156,0.47931853,0.53603077,0.719194,0.5465693,0.4223276,0.6647175,0.7130842,0.5304162,0.63105315,0.48966923,0.58631885,0.502734,0.57760537,0.6549378,0.72860557,0.5716952,0.39715514,0.6601018,0.5386437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45513186,0.6672621,0.70317006,0.6301161,0.6598394,0.6469596,0.6313694,0.6729534,0.6301645,0.68051857,0.6654808,0.58422184,0.75936204,0.68980664,0.57210785,0.49843082,0.5534678,0.75079507,0.59925395,0.47294652,0.6732001,0.74518615,0.6038298,0.67788434,0.53522474,0.59476316,0.51374704,0.6200982,0.7139887,0.77726537,0.619281,0.39246836,0.70783854,0.6348868,0.5972001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43395358,0.6289191,0.66512936,0.6276236,0.6520034,0.64807,0.62904644,0.67937255,0.5935633,0.68436694,0.6424318,0.58013743,0.69759494,0.7044081,0.58039284,0.5570057,0.53191966,0.6798286,0.61061597,0.41433546,0.6550955,0.70339686,0.60100645,0.6853799,0.5925905,0.59654003,0.5286904,0.61241055,0.7111885,0.6968284,0.6161788,0.4067741,0.7183313,0.63641644,0.6421138,0.6360688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4730946,0.71620435,0.70563823,0.6319251,0.68030804,0.6632144,0.6486481,0.68380755,0.6062301,0.7052198,0.6685849,0.59718454,0.72898674,0.71190375,0.5854019,0.51566607,0.61845785,0.7330602,0.60237867,0.4920199,0.7001018,0.78214383,0.538102,0.68426585,0.51498246,0.63780975,0.53700155,0.6234832,0.6915169,0.7695706,0.61783606,0.42481998,0.7151596,0.6654556,0.73049545,0.65870804,0.7734129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5203028,0.6805689,0.7012145,0.707908,0.6955157,0.68698597,0.6982401,0.718568,0.6600312,0.7134279,0.69552475,0.6335365,0.7698153,0.7666248,0.63155264,0.6035246,0.6196266,0.79575545,0.66444325,0.5355706,0.70012134,0.7846643,0.63312757,0.7218296,0.58662015,0.65506226,0.5944151,0.67326105,0.7361187,0.80510795,0.6347334,0.45850754,0.74693376,0.7154665,0.72841245,0.7180215,0.72494787,0.7652729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.48853797,0.6253138,0.6382462,0.6176894,0.64700896,0.6321909,0.60901207,0.66831994,0.60773975,0.6332063,0.62271553,0.590464,0.67501354,0.6717236,0.5784603,0.54259115,0.55811256,0.6696742,0.59324247,0.48320723,0.6340759,0.683154,0.57066894,0.64795154,0.5394697,0.60550326,0.54869074,0.6066162,0.65946126,0.68969655,0.60426843,0.44967413,0.66830826,0.61892277,0.64386994,0.6384907,0.6529991,0.69074035,0.6184613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.527338,0.6829883,0.6761934,0.6756328,0.6712587,0.67188233,0.6793674,0.7019386,0.6560031,0.6889767,0.65791386,0.61972934,0.7462633,0.71552366,0.60949725,0.57689667,0.61578083,0.7685899,0.64043164,0.5519201,0.69408333,0.7624775,0.6192852,0.679076,0.57364583,0.6388562,0.5872232,0.65152645,0.6977527,0.7748416,0.6156394,0.46260744,0.7181196,0.69012076,0.7104618,0.6733166,0.7037058,0.75340414,0.6782991,0.7121146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43100896,0.60833776,0.6297907,0.5664824,0.6261001,0.5890397,0.61287534,0.6006089,0.5482438,0.6293918,0.5846338,0.5829701,0.66017973,0.6138495,0.54780734,0.51440346,0.49678293,0.6156348,0.5583059,0.46378356,0.61923367,0.64298105,0.5595895,0.6038814,0.56229526,0.5609242,0.48746267,0.5887082,0.63744897,0.64638436,0.58620644,0.43154615,0.62173444,0.5740402,0.60950226,0.6083365,0.6363065,0.64498687,0.5961872,0.63009584,0.53495044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40053353,0.5208949,0.53598857,0.49007997,0.5661535,0.48719564,0.49697167,0.49319258,0.4189568,0.5229207,0.4976862,0.50195485,0.51966214,0.5252671,0.4682624,0.44014785,0.4474234,0.49512863,0.47227794,0.4209203,0.51265186,0.5261368,0.4492122,0.4981864,0.45341274,0.49011847,0.4392716,0.48254746,0.5181051,0.5303581,0.5200167,0.40965843,0.5038583,0.48575035,0.49035388,0.50550824,0.5200022,0.54158616,0.5168525,0.53437847,0.5101701,0.43757164,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.53075826,0.6373698,0.65490925,0.6308672,0.6480854,0.6340752,0.6739214,0.6569348,0.62810713,0.65841955,0.6377255,0.6223507,0.7029691,0.6628086,0.5863419,0.6031475,0.5878001,0.6724549,0.6176998,0.5830841,0.63601285,0.67781794,0.6142025,0.64245206,0.6231102,0.60609263,0.5768432,0.64004004,0.6653847,0.68276036,0.61754483,0.4946796,0.66221756,0.6286472,0.6558972,0.64229304,0.65436417,0.6748054,0.6325366,0.66601384,0.63139015,0.5499596,0.6496389,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5240595,0.69696295,0.6752768,0.6485755,0.67059606,0.653845,0.6597792,0.675226,0.6312106,0.6965802,0.6602151,0.63127565,0.72296035,0.70222884,0.62465334,0.5686152,0.61789787,0.7095157,0.6265287,0.56639826,0.6882779,0.7304729,0.5849597,0.67081696,0.5588325,0.6386651,0.58352846,0.6514197,0.696998,0.7591353,0.6122624,0.47775903,0.6924417,0.6658186,0.71754825,0.65876275,0.7446489,0.7198014,0.6599738,0.70394516,0.6459534,0.5471312,0.6517818,0.71616286,,,,,,,,,,,,,,,,,,,,,,,,,
0.45668063,0.58646685,0.5744671,0.54369485,0.5901495,0.54206467,0.5300092,0.56357086,0.51176137,0.5721062,0.56844205,0.5336711,0.5842763,0.57987547,0.516787,0.4692471,0.52135944,0.5652417,0.5366194,0.4733292,0.56898123,0.58571,0.5085172,0.5662814,0.48394126,0.5304325,0.506224,0.52492106,0.57926184,0.60553503,0.5529301,0.4312091,0.55164105,0.54144377,0.57375145,0.54027,0.5766028,0.59781563,0.5690315,0.5996157,0.53668314,0.49103498,0.57639724,0.6072234,0.5153071,,,,,,,,,,,,,,,,,,,,,,,,
0.44763166,0.5483854,0.5652433,0.53109396,0.56960434,0.5176941,0.5210141,0.5298737,0.51158106,0.54400235,0.53092635,0.5158498,0.5831535,0.55604386,0.48546374,0.4684915,0.49323326,0.57419634,0.51920784,0.4631175,0.5550321,0.5749709,0.50732297,0.53398275,0.47360784,0.50263035,0.48224178,0.5130545,0.5621337,0.59240025,0.5457503,0.3994341,0.54489106,0.52757394,0.55471724,0.518267,0.5467832,0.59081376,0.54165834,0.59476036,0.5231921,0.47238567,0.5695471,0.57868034,0.52047646,0.49847355,,,,,,,,,,,,,,,,,,,,,,,
0.530443,0.6381213,0.65535444,0.626481,0.63111067,0.6378776,0.6168931,0.64986795,0.6370401,0.62935793,0.6224032,0.60493064,0.6863999,0.6653956,0.5735154,0.5728281,0.58109516,0.67289215,0.6153058,0.53722155,0.63659966,0.6794012,0.613957,0.6391954,0.58076227,0.60593945,0.57084244,0.6128467,0.6685006,0.6819094,0.6235973,0.47212166,0.6645435,0.6239827,0.653722,0.6319811,0.6465107,0.67402524,0.6354503,0.66515344,0.6090156,0.5373303,0.6375396,0.6463922,0.5721721,0.5724186,0.635581,,,,,,,,,,,,,,,,,,,,,,
