,0
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0ATvsQavf6vLYx0Z/mW/
ir+R9X2kDU7UELNuNk5dH0ufG5hu1eF2mnr9CdjdltveY/zDf6MdwNUO3dugDJ5d
ORAtAnHNrajkgrKya2LWp82UgV6WZ77ZkHtyzY7OMbzGoMrT8BRTmhKQrERw1FFg
J9oAXHH+uSLGLRVG4Gn2590BKPg0aafRXDhvBwFW6pTJi58zC0aFuk0FAcdXxQwg
EuOgBoexwKgNd1WTB3W+z8b5ftT0l329Cj0ik1/nvFVcgX8z77zTb6SjHXsJXpYb
Ta4EQdWrtRDPrqZs0he0nB9ASkCa9opGgpa2Nffh1d05nDB0CYaJNNkXAZZ4JEXe
gQIDAQAB
-----END PUBLIC KEY-----
",0.0008337704747081645
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0B+sAlRkNM2FAAo3+Fdl
Cnod5oWZadqGie9nnmflETVkwMTGY79dFqcFMlSWAskAE10A2G+zlZc1u6jocKp2
PZ0BqDGGvibEDrJCDWUnbXHa8Y1dtEzhWbCrF/6lOKM4hYa66jo9qHnRlA+SEz20
QovhU/2YDvsWxNIzXy/x/B8rt/OAYPVliM/Qd9lbG1mJXMeV7pHwEEDhCxSR/R1B
5la96YoslummZVkgSQbiEQ0YGpVJn/l0v9Tj+txYHf5KMH6u+WIxJLTqGdZVnEjg
2EpUb4BDJoSeDCbmYcEF2HT51tue5OnCnX5kXw0scUQGs3ggiY2qjGPtQXFKtlNR
HwIDAQAB
-----END PUBLIC KEY-----
",0.0013143786822660158
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0Bva+HlzCwGOeY1Mikqt
SIT/iaahgVdFI0jZefMe8LTpoSyVkTmjv3YFjIw4JXGi096rP4+stxhBVUsL2Giw
ywsrtP6aDfFgldrYTh1zSZCz4FoAg3JR8WVCo9PQZea55lOUkR/EFmAYEhSzNaPN
r/OsniQnwMycEPEwjgDnj55fViijJNCCqgfhYdTG+Ae/x+zD4vTdOZy8RG8iRs9G
UqnpIcXxslRwREGamO9NV05XSB2fFARXyRfg1kA2bCVgLS6+wwn8EQEYXST+HZJw
fyqfA1H4Qj2vy6GnqVYnpl4yt1wx5VjpEXLATMKNLSGWhNLwjqpwvSn57mLNMfZ+
UwIDAQAB
-----END PUBLIC KEY-----
",0.0009629430632051439
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EycYBB5jEuHxTbQh5ht
Bcw6dgGfKUyt3td7NAl2z/zRcQeNTzq/RjGzblohJa+rGa1RRiTMhqlPPOEuiNgI
wzQcnGazDYjg1Z5VOZV6qak9DL13HSOxVJaDEDZE+5hKRtOafPIEDLg16vQsYgvW
uglIZcZRuDb7PylnfDppWc2LDYET37fudz0IN0F1+WfcKiN6qyNnecuEocrR855Q
aCHP6ckp35iUpyC3wy5bGnfdt2qyQcbRXwWlT4LAELfAz+9uE9lzFujE/R+c5cwV
E6fypCLNTNNfIm9kJdeU7z1+WkxOaggDDYiiArDIbDmakrTFfK0Ed1NFNJnV7w1l
FQIDAQAB
-----END PUBLIC KEY-----
",0.00048345055367957676
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0GKdUkQeWf9J0tvNru/T
UxDtBwX98d4/ADTMkb0gDjECH+Jk1eAS7CwxxdEqn0Iwqq6Drd9P0Q+xiLLmlhyg
WCgL2OlDAEOzHVd75w7wq6PVfR7C3Yp7b7N8/5N7dH1Y+GuNuoqdaR9/e1JOc+n+
0irDkf9Ln7pcO6iWw/eWakltp99L2nndln3bx/GzYkP6x9MbQxqaMctwk2QhyOvS
/zE8VF1s/Ny+zEpkoRVLfF90fw0g7EXD1fXuZ2SMVdIN9Bh32YGQUKhYsrMoyvqz
elrGff50BmtkXU7XmrU97XSIrPKTErjQ7tDwyUaTIqAJi3dwXfmzD/LyWpR+iNaL
awIDAQAB
-----END PUBLIC KEY-----
",0.00048345055367957676
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0Gpl7xmE6T6jRi19GsnT
BZRj56jmVx5twYGmvqw3UeuIu/QDobTwDvNvGhHYRwXWVnr3Ff4zSFD9SNbv+Dzo
/HKByGxp4CXU1Nli6IQusbHk+ac1WervOMcWXQoK7cZKu12V0dfggnb99fcACmTi
WhOmFcQu3p0lPV0bm1z0p6TYvjjd4PAqxsv9beDSwMqtfSyiSh2XhwgdiaCSp0On
6F5VxFo3LsGF8A47vDFIXz5+WRtN1klwN/uiqurjes7VeGN0vPmqssE1vV8qE9dR
nXL98I1ZUdXFL5b8e1T7vk/ok/KyqDZhcTbdX/tyKhm0sYNEEVP/bQIOUzUDDC+p
AwIDAQAB
-----END PUBLIC KEY-----
",0.00048345055367957676
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0IWIpXNeD7Mrkc9Oinqp
noSSKvpqu7yK4pVwj7mWytASNijW1hXAug3hICjFqXfebf1yEpBE0D2F4E+fdKTo
ywI0E8Uj45SYhdZ++Kuc3Lq0NwEDuuiNUSJ7VlP+rrTW9CF4sjcvt+yRCADmPBi9
U/cpz5s7NqHICnxYxU1ADc0Rtmb/coTjTIcsbq0HUd9k9QTXYkIeCgGkUuVWbqk5
slLGJIoB470DYOsBHB7rk9i36wucqXvCofRM6pEj4AKElPCUxSealwtCqlrrqVaf
AmKVh8H0QPRiWyMENnN3XZ6qoWXuCVQstlY5E0ejzyDCNJIwJFHsc6gxvyH03azU
6QIDAQAB
-----END PUBLIC KEY-----
",0.042414008972482604
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0JHfn8xkNuQs3XdHv8pw
MS/aWa/OtCZGxsASJWSTuvOPj+gPjOqiVDGs2/PkOQjn703bN7CzG7RtMDyYHMmW
teZ5SfdNwSfh6RbJVS8gQZ9xgXNv1/XAO4+wxs8njBIR98gy/W0gEdgpF1deQoGH
GDvp2xuLuZaEHRCLipdRTqMX5o7a7SQiV1XaVMFdE4078M+uztlTpaRkFVSqlxwP
Nmq96OLBCbL/jtYK3dZeiuZ1jecnrMJ3d6zo69mOc+z+IHh2WopMCLrzly0DjgR6
WpxGzRbPDiWVqwkO7fJ0zSeqyOszBYSAm4aSkGx04FszQWnrnXkZqz3gZjVoQLh+
gQIDAQAB
-----END PUBLIC KEY-----
",0.0006204484135440246
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0KDIljsNQA6eGhlO8Bk7
U75bEcHzEvINRF51fq1ow3g9cKclZDXaG8YEczoIzHRIrh18xXSyFDKmiUo8+YH/
mDGkvvxs0S7a1pF2SPyOmYjWERsa24ejFCxZ8qZSqZRwgx2mNhRnakSm9K3Z/z2L
KBNgc8htGOyW4f7jYb86RbvsXPYkIZxVNC8P0tmPk2IK2BDMdb8434gztXayH6x6
24dQZXsE7ZCUSWsgTfYWx1I8aLRDQUr2QungZHRizodA6Pp/tK4bLSqnIOjBBJTH
YszC2GTtMtEj92HgHt+8f4WnGRHOoGt3oozk7WefXBlB9rM9tank3HWu2f4XkUYK
gQIDAQAB
-----END PUBLIC KEY-----
",0.0007755917307543083
"-----BEGIN PUBLIC KEY-----
MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0M8wdP2scjymEENmAUm5
K/pxwXBtH9XHQpolEy/Rhz2mEpMzM8+E0I2tuOwXsTsNMNrWJhz/L4L1RXrXUty6
OkgCLHhln5IeITl+ArDAWzBsodyQCrpL1i9fM+OGleKMUF7mbDdFsVjXS3qMzUxt
rL7OOAF4qgTJ+92e/Fz6myssySQZX82TwSqiTi6HW0sOMnY9OnDylR5JuTggf6he
YOR1KuSIJ3JJPncPIr6NLRveVgNXRD/p/VDR315HEvTCYGnOfS6QDPzKFt2Xhrv+
CXRVoXxbqMQT+VWpdiRuVnUmml0sIhH0glSW51IrWXkmgcLPgRxWqFnmtOU37YN0
DQIDAQAB
-----END PUBLIC KEY-----
",0.00048345055367957676
